iD,Name,Artist,streams
1,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703
2,LALA,Myke Towers,133716286
3,vampire,Olivia Rodrigo,140003974
4,Cruel Summer,Taylor Swift,800840817
5,WHERE SHE GOES,Bad Bunny,303236322
6,Sprinter,"Dave, Central Cee",183706234
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112
8,Columbia,Quevedo,58149378
9,fukumean,Gunna,95217315
10,La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067
11,un x100to,"Bad Bunny, Grupo Frontera",505671438
12,Super Shy,NewJeans,58255150
13,Flowers,Miley Cyrus,1316855716
14,Daylight,David Kushner,387570742
15,As It Was,Harry Styles,2513188493
16,Kill Bill,SZA,1163093654
17,Cupid - Twin Ver.,Fifty Fifty,496795686
18,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,30546883
19,Classy 101,"Feid, Young Miko",335222234
20,Like Crazy,Jimin,363369738
